"","month_last","donation_count","total_volume","month_first","result","age","freq","log_freq","sqrt_freq","donation_score","log_score","first_time","log_recency","sqrt_recency","prob.0","prob.1","prob1"
"1",2,12,3000,52,0.5,50,4.16666666666667,1.64222773525709,2.04124145231932,600,6.39859493453521,0,1.09861228866811,1.4142135623731,0.45,0.55,0.55
"2",21,7,1750,38,0.5,17,2.42857142857143,1.23214368129263,1.55838744494796,119,4.78749174278205,0,3.09104245335832,4.58257569495584,0.85,0.15,0.15
"3",4,1,250,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,1,0,0
"4",11,11,2750,38,0.5,27,2.45454545454545,1.23969088692802,1.56669890360128,297,5.6970934865054,0,2.484906649788,3.3166247903554,0.94,0.06,0.06
"5",4,12,3000,34,0.5,30,2.5,1.25276296849537,1.58113883008419,360,5.88887795833288,0,1.6094379124341,2,0.476,0.524,0.524
"6",3,21,5250,42,0.5,39,1.85714285714286,1.04982212449868,1.36277028773849,819,6.7093043402583,0,1.38629436111989,1.73205080756888,0.212,0.788,0.788
"7",4,2,500,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,0.862,0.138,0.138
"8",14,1,250,14,0.5,0,0,0,0,0,0,1,2.70805020110221,3.74165738677394,1,0,0
"9",23,2,500,87,0.5,64,32,3.49650756146648,5.65685424949238,128,4.85981240436167,0,3.17805383034795,4.79583152331272,0.978,0.022,0.022
"10",14,4,1000,64,0.5,50,12.5,2.60268968544438,3.53553390593274,200,5.30330490805908,0,2.70805020110221,3.74165738677394,1,0,0
"11",13,3,750,16,0.5,3,1,0.693147180559945,1,9,2.30258509299405,0,2.63905732961526,3.60555127546399,0.668,0.332,0.332
"12",11,7,1750,62,0.5,51,7.28571428571429,2.11453286149111,2.69920623252731,357,5.8805329864007,0,2.484906649788,3.3166247903554,0.97,0.03,0.03
"13",5,11,2750,75,0.5,70,6.36363636363636,1.99655388187407,2.52262489554756,770,6.64768837356333,0,1.79175946922805,2.23606797749979,0.736,0.264,0.264
"14",4,1,250,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,1,0,0
"15",4,4,1000,26,0.5,22,5.5,1.87180217690159,2.34520787991171,88,4.48863636973214,0,1.6094379124341,2,0.304,0.696,0.696
"16",11,1,250,11,0.5,0,0,0,0,0,0,1,2.484906649788,3.3166247903554,0.968,0.032,0.032
"17",11,6,1500,26,0.5,15,2.5,1.25276296849537,1.58113883008419,90,4.51085950651685,0,2.484906649788,3.3166247903554,0.968,0.032,0.032
"18",7,14,3500,48,0.5,41,2.92857142857143,1.36827585561721,1.71130693581585,574,6.35437004079735,0,2.07944154167984,2.64575131106459,0.53,0.47,0.47
"19",23,14,3500,93,0.5,70,5,1.79175946922805,2.23606797749979,980,6.88857245956536,0,3.17805383034795,4.79583152331272,0.908,0.092,0.092
"20",3,4,1000,29,0.5,26,6.5,2.01490302054226,2.54950975679639,104,4.65396035015752,0,1.38629436111989,1.73205080756888,0.672,0.328,0.328
"21",2,7,1750,29,0.5,27,3.85714285714286,1.58045037556085,1.96396101212393,189,5.24702407216049,0,1.09861228866811,1.4142135623731,0.16,0.84,0.84
"22",4,6,1500,35,0.5,31,5.16666666666667,1.81915844341617,2.27303028283098,186,5.23110861685459,0,1.6094379124341,2,0.426,0.574,0.574
"23",5,7,1750,26,0.5,21,3,1.38629436111989,1.73205080756888,147,4.99721227376411,0,1.79175946922805,2.23606797749979,0.738,0.262,0.262
"24",4,1,250,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,1,0,0
"25",2,3,750,38,0.5,36,12,2.56494935746154,3.46410161513775,108,4.69134788222914,0,1.09861228866811,1.4142135623731,0.966,0.034,0.034
"26",5,14,3500,86,0.5,81,5.78571428571429,1.91481956198528,2.40535117721182,1134,7.0343879299155,0,1.79175946922805,2.23606797749979,0.674,0.326,0.326
"27",2,2,500,11,0.5,9,4.5,1.70474809223843,2.12132034355964,18,2.94443897916644,0,1.09861228866811,1.4142135623731,0.64,0.36,0.36
"28",14,1,250,14,0.5,0,0,0,0,0,0,1,2.70805020110221,3.74165738677394,1,0,0
"29",4,3,750,16,0.5,12,4,1.6094379124341,2,36,3.61091791264422,0,1.6094379124341,2,0.99,0.01,0.01
"30",2,12,3000,52,0.5,50,4.16666666666667,1.64222773525709,2.04124145231932,600,6.39859493453521,0,1.09861228866811,1.4142135623731,0.45,0.55,0.55
"31",4,14,3500,86,0.5,82,5.85714285714286,1.92529086185258,2.42015347801392,1148,7.04664727784876,0,1.6094379124341,2,0.596,0.404,0.404
"32",23,7,1750,88,0.5,65,9.28571428571429,2.33075596996074,3.04724700110022,455,6.12249280951439,0,3.17805383034795,4.79583152331272,0.924,0.076,0.076
"33",2,1,250,2,0.5,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731,1,0,0
"34",4,7,1750,58,0.5,54,7.71428571428571,2.164963715118,2.77746029931765,378,5.93753620508243,0,1.6094379124341,2,0.926,0.074,0.074
"35",4,2,500,41,0.5,37,18.5,2.9704144655697,4.30116263352131,74,4.31748811353631,0,1.6094379124341,2,0.942,0.058,0.058
"36",11,7,1750,29,0.5,18,2.57142857142857,1.27296567581289,1.60356745147455,126,4.84418708645859,0,2.484906649788,3.3166247903554,0.934,0.066,0.066
"37",2,2,500,41,0.5,39,19.5,3.02042488614436,4.41588043316392,78,4.36944785246702,0,1.09861228866811,1.4142135623731,0.92,0.08,0.08
"38",14,1,250,14,0.5,0,0,0,0,0,0,1,2.70805020110221,3.74165738677394,1,0,0
"39",4,6,1500,28,0.5,24,4,1.6094379124341,2,144,4.97673374242057,0,1.6094379124341,2,0.728,0.272,0.272
"40",4,1,250,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,1,0,0
"41",2,2,500,4,0.5,2,1,0.693147180559945,1,4,1.6094379124341,0,1.09861228866811,1.4142135623731,0.472,0.528,0.528
"42",16,6,1500,35,0.5,19,3.16666666666667,1.42711635564015,1.77951304200522,114,4.74493212836325,0,2.83321334405622,4,0.336,0.664,0.664
"43",16,6,1500,81,0.5,65,10.8333333333333,2.47092040781326,3.29140294302192,390,5.96870755998537,0,2.83321334405622,4,0.954,0.046,0.046
"44",2,5,1250,26,0.5,24,4.8,1.75785791755237,2.19089023002066,120,4.79579054559674,0,1.09861228866811,1.4142135623731,0.86,0.14,0.14
"45",14,3,750,31,0.5,17,5.66666666666667,1.89711998488588,2.38047614284762,51,3.95124371858143,0,2.70805020110221,3.74165738677394,0.972,0.028,0.028
"46",2,1,250,2,0.5,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731,1,0,0
"47",4,4,1000,14,0.5,10,2.5,1.25276296849537,1.58113883008419,40,3.71357206670431,0,1.6094379124341,2,0.472,0.528,0.528
"48",14,3,750,35,0.5,21,7,2.07944154167984,2.64575131106459,63,4.15888308335967,0,2.70805020110221,3.74165738677394,0.98,0.02,0.02
"49",14,1,250,14,0.5,0,0,0,0,0,0,1,2.70805020110221,3.74165738677394,1,0,0
"50",14,5,1250,28,0.5,14,2.8,1.33500106673234,1.67332005306815,70,4.26267987704132,0,2.70805020110221,3.74165738677394,0.964,0.036,0.036
"51",2,14,3500,57,0.5,55,3.92857142857143,1.595049174982,1.98206241793023,770,6.64768837356333,0,1.09861228866811,1.4142135623731,0.408,0.592,0.592
"52",5,24,6000,79,0.5,74,3.08333333333333,1.40691364832263,1.75594229214212,1776,7.48268182815465,0,1.79175946922805,2.23606797749979,0.284,0.716,0.716
"53",14,4,1000,23,0.5,9,2.25,1.17865499634165,1.5,36,3.61091791264422,0,2.70805020110221,3.74165738677394,0.768,0.232,0.232
"54",4,6,1500,39,0.5,35,5.83333333333333,1.92181259747625,2.41522945769824,210,5.35185813347607,0,1.6094379124341,2,0.14,0.86,0.86
"55",23,2,500,38,0.5,15,7.5,2.14006616349627,2.73861278752583,30,3.43398720448515,0,3.17805383034795,4.79583152331272,0.988,0.012,0.012
"56",11,8,2000,52,0.5,41,5.125,1.81237875643079,2.26384628453435,328,5.79605775076537,0,2.484906649788,3.3166247903554,0.71,0.29,0.29
"57",2,7,1750,77,0.5,75,10.7142857142857,2.46080909820894,3.27326835353989,525,6.26530121273771,0,1.09861228866811,1.4142135623731,0.964,0.036,0.036
"58",4,5,1250,11,0.5,7,1.4,0.8754687373539,1.18321595661992,35,3.58351893845611,0,1.6094379124341,2,0.566,0.434,0.434
"59",2,4,1000,35,0.5,33,8.25,2.22462355152433,2.87228132326901,132,4.89034912822175,0,1.09861228866811,1.4142135623731,0.848,0.152,0.152
"60",2,15,3750,64,0.5,62,4.13333333333333,1.63575522075147,2.03306009093025,930,6.83625927727707,0,1.09861228866811,1.4142135623731,0.672,0.328,0.328
"61",4,1,250,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,1,0,0
"62",11,2,500,38,0.5,27,13.5,2.67414864942653,3.67423461417477,54,4.00733318523247,0,2.484906649788,3.3166247903554,0.786,0.214,0.214
"63",12,15,3750,71,0.5,59,3.93333333333333,1.59601489210196,1.9832633040858,885,6.78671695060508,0,2.56494935746154,3.46410161513775,0.746,0.254,0.254
"64",2,13,3250,76,0.5,74,5.69230769230769,1.90095876119305,2.3858557568109,962,6.87005341179813,0,1.09861228866811,1.4142135623731,0.482,0.518,0.518
"65",11,2,500,38,0.5,27,13.5,2.67414864942653,3.67423461417477,54,4.00733318523247,0,2.484906649788,3.3166247903554,0.786,0.214,0.214
"66",16,2,500,27,0.5,11,5.5,1.87180217690159,2.34520787991171,22,3.13549421592915,0,2.83321334405622,4,0.972,0.028,0.028
"67",9,4,1000,65,0.5,56,14,2.70805020110221,3.74165738677394,224,5.41610040220442,0,2.30258509299405,3,0.92,0.08,0.08
"68",21,16,4000,64,0.5,43,2.6875,1.30494872166594,1.6393596310755,688,6.53524127101366,0,3.09104245335832,4.58257569495584,0.83,0.17,0.17
"69",7,10,2500,47,0.5,40,4,1.6094379124341,2,400,5.99396142730657,0,2.07944154167984,2.64575131106459,0.644,0.356,0.356
"70",4,1,250,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,1,0,0
"71",11,5,1250,35,0.5,24,4.8,1.75785791755237,2.19089023002066,120,4.79579054559674,0,2.484906649788,3.3166247903554,0.808,0.192,0.192
"72",16,4,1000,23,0.5,7,1.75,1.01160091167848,1.3228756555323,28,3.36729582998647,0,2.83321334405622,4,0.712,0.288,0.288
"73",38,1,250,38,0.5,0,0,0,0,0,0,1,3.66356164612965,6.16441400296898,0.978,0.022,0.022
"74",4,1,250,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,1,0,0
"75",23,4,1000,52,0.5,29,7.25,2.11021320034659,2.69258240356725,116,4.76217393479776,0,3.17805383034795,4.79583152331272,0.982,0.018,0.018
"76",11,7,1750,64,0.5,53,7.57142857142857,2.14843441316679,2.75162289775117,371,5.91889385427315,0,2.484906649788,3.3166247903554,0.974,0.026,0.026
"77",14,3,750,28,0.5,14,4.66666666666667,1.73460105538811,2.16024689946929,42,3.76120011569356,0,2.70805020110221,3.74165738677394,0.934,0.066,0.066
"78",4,11,2750,78,0.5,74,6.72727272727273,2.04475598369195,2.59369865776129,814,6.70318811324086,0,1.6094379124341,2,0.698,0.302,0.302
"79",16,4,1000,33,0.5,17,4.25,1.65822807660353,2.06155281280883,68,4.23410650459726,0,2.83321334405622,4,0.93,0.07,0.07
"80",4,5,1250,11,0.5,7,1.4,0.8754687373539,1.18321595661992,35,3.58351893845611,0,1.6094379124341,2,0.566,0.434,0.434
"81",38,1,250,38,0.5,0,0,0,0,0,0,1,3.66356164612965,6.16441400296898,0.978,0.022,0.022
"82",11,11,2750,38,0.5,27,2.45454545454545,1.23969088692802,1.56669890360128,297,5.6970934865054,0,2.484906649788,3.3166247903554,0.94,0.06,0.06
"83",2,2,500,11,0.5,9,4.5,1.70474809223843,2.12132034355964,18,2.94443897916644,0,1.09861228866811,1.4142135623731,0.64,0.36,0.36
"84",2,2,500,4,0.5,2,1,0.693147180559945,1,4,1.6094379124341,0,1.09861228866811,1.4142135623731,0.472,0.528,0.528
"85",2,14,3500,57,0.5,55,3.92857142857143,1.595049174982,1.98206241793023,770,6.64768837356333,0,1.09861228866811,1.4142135623731,0.408,0.592,0.592
"86",21,1,250,21,0.5,0,0,0,0,0,0,1,3.09104245335832,4.58257569495584,1,0,0
"87",11,1,250,11,0.5,0,0,0,0,0,0,1,2.484906649788,3.3166247903554,0.968,0.032,0.032
"88",16,2,500,26,0.5,10,5,1.79175946922805,2.23606797749979,20,3.04452243772342,0,2.83321334405622,4,0.93,0.07,0.07
"89",21,16,4000,64,0.5,43,2.6875,1.30494872166594,1.6393596310755,688,6.53524127101366,0,3.09104245335832,4.58257569495584,0.83,0.17,0.17
"90",2,4,1000,26,0.5,24,6,1.94591014905531,2.44948974278318,96,4.57471097850338,0,1.09861228866811,1.4142135623731,0.86,0.14,0.14
"91",4,1,250,4,0.5,0,0,0,0,0,0,1,1.6094379124341,2,1,0,0
"92",4,2,500,52,0.5,48,24,3.2188758248682,4.89897948556636,96,4.57471097850338,0,1.6094379124341,2,0.4,0.6,0.6
"93",14,3,750,31,0.5,17,5.66666666666667,1.89711998488588,2.38047614284762,51,3.95124371858143,0,2.70805020110221,3.74165738677394,0.972,0.028,0.028
"94",16,2,500,16,0.5,0,0,0,0,0,0,1,2.83321334405622,4,0.988,0.012,0.012
"95",16,11,2750,40,0.5,24,2.18181818181818,1.15745278869104,1.47709789175199,264,5.57972982598622,0,2.83321334405622,4,0.954,0.046,0.046
"96",11,11,2750,42,0.5,31,2.81818181818182,1.339774345485,1.67874411932904,341,5.8348107370626,0,2.484906649788,3.3166247903554,0.87,0.13,0.13
"97",4,5,1250,23,0.5,19,3.8,1.56861591791385,1.94935886896179,95,4.56434819146784,0,1.6094379124341,2,0.834,0.166,0.166
